"siteID","date","hgDepositionUGM2","filename"
"LKC",1994-03-27,0.0457,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-04-05,0.2935,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-04-07,0.0254,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-04-10,0.1176,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-04-13,0.0403,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-04-13,0.0137,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-04-16,0.1698,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-04-20,0.0344,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-01,0.1837,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-05,0.1123,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-07,0.1292,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-09,0.0184,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-10,0.0096,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-12,0.0254,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-16,0.0893,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-16,0.0618,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-17,0.1305,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-25,0.0582,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-25,0.0347,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-26,0.1373,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-29,0.1565,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-05-31,0.5502,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-01,0.0619,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-02,0.0634,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-06,0.471,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-07,0.0386,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-11,0.1034,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-12,0.1488,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-13,0.0549,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-21,0.1665,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-22,0.112,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-25,0.0247,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-06-27,0.1101,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-05,0.0458,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-07,0.0876,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-09,0.1755,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-10,0.0064,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-15,0.007,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-18,0.0292,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-21,0.1003,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-23,0.04,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-26,0.088,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-28,0.0535,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-07-30,0.0711,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-02,0.2887,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-04,0.1,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-13,0.1099,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-14,0.0554,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-15,0.0363,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-17,0.0355,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-21,0.2735,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-25,0.1434,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-26,0.0915,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-08-31,0.0803,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-01,0.0465,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-05,0.0374,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-07,0.0204,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-10,0.037,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-11,0.2719,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-13,0.0345,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-23,0.0252,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-24,0.0083,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-27,0.0345,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-28,0.0468,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-09-29,0.0493,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-10-04,0.0144,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-10-05,0.0259,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-10-09,0.0792,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-10-18,0.0393,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-10-19,0.1282,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-10-20,0.1911,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-10-31,0.1563,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-11-01,0.0156,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-11-02,0.0252,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-11-04,0.0861,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-11-05,0.0589,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-11-06,0.0196,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-11-21,0.0685,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-11-26,0.0429,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-11-28,0.0366,"PMRC Wet Deposition Hg 1999-2003"
"LKC",1994-11-28,0.0342,"PMRC Wet Deposition Hg 1999-2003"
