"bandNum","date","status","age","sex","time","loc","cp","bp","wg","wt","hgBloodID","species","hgID","tissueType","hgLevel","mehgLevel","hgLab"
"157105377",2006-06-19,"1","5","4",1050,"MANS","3","0",89.5,26.3,"B06.346","BITH","B06.346","blood",0.0665,NA,"TX"
"157105381",2006-06-20,"1","5","4",600,"MANS","3","0",90.5,NA,"B06.349","BITH","B06.349","blood",0.0881,NA,"TX"
"157105384",2006-06-20,"1","5","5",640,"MANS","0","3",90,33.5,"B06.324","BITH","B06.324","blood",0.0787,NA,"TX"
"157105384",2006-07-06,"2","5","5",610,"MANS","0","3",89,30.8,"B06.340","BITH","B06.340","blood",0.0552,NA,"TX"
"157105386",2006-06-20,"1","5","4",910,"MANS","3","0",92,27.1,"B06.344","BITH","B06.344","blood",0.111,NA,"TX"
"157106501",2005-06-09,"1","6","5",2110,"MANS","0","2",82,28.9,"B05.036","BITH","B05.036","blood",0.0893,NA,"TX"
"157106502",2005-06-30,"2","6","5",2050,"MANS","0","3",87.5,28.9,"B05.071","BITH","B05.071","blood",0.0582,NA,"TX"
"157106503",2005-06-09,"1","5","4",2200,"MANS","2","0",86.5,25.5,"B05.035","BITH","B05.035","blood",0.0862,NA,"TX"
"157106503",2005-07-12,"2","5","4",530,"MANS","2","0",86.5,NA,"B05.091","BITH","B05.091","blood",0.0421,NA,"TX"
"157106504",2005-06-09,"1","5","4",2200,"MANS","3","0",90.5,27.9,"B05.037","BITH","B05.037","blood",0.132,NA,"TX"
"157106504",2005-07-01,"2","5","4",810,"MANS","3","0",90.5,28,"B05.079","BITH","B05.079","blood",0.0527,NA,"TX"
"157106505",2005-06-09,"1","6","4",2200,"MANS","3","0",91.5,27.2,"B05.032","BITH","B05.032","blood",0.0718,NA,"TX"
"157106505",2005-07-01,"2","6","4",500,"MANS","3","0",89.5,27,"B05.077","BITH","B05.077","blood",0.0356,NA,"TX"
"157106506",2005-06-10,"1","5","4",530,"MANS","3","0",89.5,26.7,"B05.039","BITH","B05.039","blood",0.0908,NA,"TX"
"157106506",2005-07-01,"2","5","4",940,"MANS",NA,NA,NA,NA,"B05.120","BITH","B05.120","blood",0.0509,NA,"TX"
"157106506",2005-07-12,"2","5","4",830,"MANS","2","0",87.5,26.5,"B05.121","BITH","B05.121","blood",0.0465,NA,"TX"
"157106510",2005-06-10,"1","5","4",840,"MANS","3","0",91,26.9,"B05.038","BITH","B05.038","blood",0.0657,NA,"TX"
"157106510",2006-06-19,"2","6","4",500,"MANS","3","0",96,28.9,"B06.312","BITH","B06.312","blood",0.0441,NA,"TX"
"157106531",2005-06-30,"1","5","5",2040,"MANS","0","3",84.5,27.2,"B05.070","BITH","B05.070","blood",0.0503,NA,"TX"
"157106534",2005-06-30,"1","5","4",2120,"MANS","3","0",90,23.5,"B05.073","BITH","B05.073","blood",0.191,NA,"TX"
"157106534",2006-06-21,"2","6","4",740,"MANS","3","0",95,27.9,"B06.345","BITH","B06.345","blood",0.218,NA,"TX"
"157106535",2005-07-01,"1","5","4",750,"MANS","3","0",90.5,26.2,"B05.082","BITH","B05.082","blood",0.0692,NA,"TX"
"157106537",2005-07-01,"1","4","0",930,"MANS",NA,NA,NA,21.1,"B05.080","BITH","B05.080","blood",0.00403,NA,"TX"
"157106538",2005-07-01,"4","4","0",930,"MANS","9","9",NA,22.4,"B05.081","BITH","B05.081","blood",0.00501,NA,"TX"
"157106540",2005-07-11,"1","5","4",2210,"MANS","2","0",87.5,27.6,"B05.090","BITH","B05.090","blood",0.0508,NA,"TX"
"157106540",2006-06-13,"2","6","4",900,"MANS","3","0",89,25.5,"B06.009","BITH","B06.009","blood",0.0884,NA,"TX"
"157106543",2005-07-12,"1","5","4",700,"MANS","2","0",89,24.6,"B05.092","BITH","B05.092","blood",0.0378,NA,"TX"
"157106801",2006-06-20,"1","5","4",920,"MANS","3","0",86,25.1,"B06.350","BITH","B06.350","blood",0.0964,NA,"TX"
"193176709",2014-06-27,"2","6","4",1050,"MANS","3","0",95,26.6,"2014.002","BITH","2014.002","blood",0.0780972366333008,NA,"BRI"
"193176709",2014-09-17,"2","6","4",650,"MANS",NA,NA,93,26.2,"2014.001","BITH","2014.001","blood",0.0226692676544189,NA,"BRI"
"193176709",2017-06-02,"2","6","4",740,"MANS","3","0",93,25.5,"2017.13","BITH","2017.13","blood",0.188221237182617,NA,"BRI"
"193176709",2017-06-21,"2","6","4",2000,"MANS","3","0",91,27,"2017.11","BITH","2017.11","blood",0.103096641540527,NA,"BRI"
"193176718",2016-06-15,"2","6","4",740,"MANS","3","0",94,27.1,"2016.076","BITH","2016.076","blood",0.122400520324707,NA,"BRI"
"193176737",2016-06-01,"2","6","4",600,"MANS","3","0",95,27,"2016.071","BITH","2016.071","blood",0.186809616088867,NA,"BRI"
"193176740",2014-06-17,"2","5","4",540,"MANS","3","0",90,28.3,"2014.004","BITH","2014.004","blood",0.0474134712219238,NA,"BRI"
