SITEID,DATEON,DATEOFF,RGPPT,SVOL,SUBPPT,HGCONC,HGDEP ng/g,HgDep ug/g,SAMPLETYPE,QR,NOTES,YRMONTH,DATEMOD
VT99,8/2/16,8/9/16,2.29,29.1,2.29,7.36,16.82,0.01682,W,B,d,201608,8/22/17
VT99,8/9/16,8/16/16,26.42,332.2,26.42,7.39,195.21,0.19521,W,B,dh,201608,8/22/17
VT99,8/16/16,8/23/16,62.48,750.7,62.48,2.61,163.08,0.16308,W,B,d,201608,8/22/17
VT99,8/23/16,8/30/16,4.83,60.7,4.83,13.89,67.03,0.06703,W,B,d,201608,8/22/17
VT99,8/30/16,9/6/16,12.45,147.3,12.45,5.94,73.93,0.07393,W,B,dm,201609,8/22/17
VT99,9/6/16,9/13/16,34.04,412,34.04,8.11,276.03,0.27603,W,B,m,201609,8/22/17
VT99,9/13/16,9/20/16,9.14,115.2,9.14,7.16,65.47,0.06547,W,B,dm,201609,8/22/17
VT99,9/20/16,9/27/16,28.7,338.9,28.7,5.41,155.28,0.15528,W,B,dm,201609,8/22/17
VT99,9/27/16,10/4/16,3.56,49.4,3.56,2.83,10.06,0.01006,W,B,dmh,201610,8/22/17
VT99,10/4/16,10/11/16,3.05,39.7,3.05,5.95,18.14,0.01814,W,B,dm,201610,8/22/17
VT99,10/11/16,10/18/16,3.56,47.6,3.56,6.6,23.47,0.02347,W,B,dm,201610,8/22/17
VT99,10/18/16,10/25/16,60.71,712.1,60.71,3.65,221.58,0.22158,W,B,dm,201610,8/22/17
VT99,10/25/16,11/1/16,36.07,401.9,36.07,5.75,207.39,0.20739,W,B,dm,201610,8/22/17
VT99,11/1/16,11/8/16,24.89,266.6,24.89,2.78,69.2,0.0692,W,B,dm,201611,8/22/17
VT99,11/8/16,11/15/16,4.32,45.5,4.32,7.93,34.24,0.03424,W,B,dm,201611,8/22/17
VT99,11/15/16,11/22/16,44.96,307,44.96,3.44,154.66,0.15466,W,B,dmz,201611,8/22/17
VT99,11/22/16,11/29/16,10.41,81.8,10.41,8.8,91.64,0.09164,W,B,dm,201611,8/22/17
VT99,11/29/16,12/6/16,46.48,444.6,46.48,2.65,123.17,0.12317,W,B,dm,201612,8/22/17
VT99,12/6/16,12/13/16,9.91,95.1,9.91,4.67,46.26,0.04626,W,B,dmz,201612,8/22/17
VT99,12/13/16,12/20/16,20.07,239.1,20.07,5.72,114.77,0.11477,W,B,dmzh,201612,8/22/17
VT99,12/20/16,12/27/16,21.59,196.8,21.59,3.51,75.78,0.07578,W,B,dmz,201612,8/22/17
VT99,12/27/16,1/3/17,11.68,40.5,11.68,4.79,55.96,0.05596,W,B,dmz,201612,8/22/17
