"date","siteID","sampleNumber","precipSampVolML","precipAmountCM","hgConcentrationNGL","hgDepositionUGM2","filename"
1998-03-02,"LKC",576,50,0.26178,6.08,0.0159,"PMRC Wet Deposition Hg 1999-2003"
1998-03-04,"LKC",577,47,0.24607,7.162,0.0176,"PMRC Wet Deposition Hg 1999-2003"
1998-03-07,"LKC",578,39,0.20418,14.88,0.0303,"PMRC Wet Deposition Hg 1999-2003"
1998-03-08,"LKC",579,167,0.87434,4.696,0.041,"PMRC Wet Deposition Hg 1999-2003"
1998-03-09,"LKC",580,544,2.84816,5.75,0.1637,"PMRC Wet Deposition Hg 1999-2003"
1998-03-14,"LKC",581,111,0.58115,13.65,0.0793,"PMRC Wet Deposition Hg 1999-2003"
1998-03-18,"LKC",582,89,0.46596,7.029,0.0327,"PMRC Wet Deposition Hg 1999-2003"
1998-03-19,"LKC",583,64,0.33507,5.34,0.0178,"PMRC Wet Deposition Hg 1999-2003"
1998-03-21,"LKC",584,442,2.31413,3.219,0.0744,"PMRC Wet Deposition Hg 1999-2003"
1998-03-22,"LKC",585,63,0.32984,4.713,0.0155,"PMRC Wet Deposition Hg 1999-2003"
1998-03-26,"LKC",586,24,0.12565,39.19,0.0492,"PMRC Wet Deposition Hg 1999-2003"
1998-03-28,"LKC",587,53,0.27748,19.08,0.0529,"PMRC Wet Deposition Hg 1999-2003"
1998-03-31,"LKC",588,33,0.17277,47.18,0.0815,"PMRC Wet Deposition Hg 1999-2003"
1998-04-01,"LKC",589,58,0.30366,53.91,0.1637,"PMRC Wet Deposition Hg 1999-2003"
1998-04-01,"LKC",590,290,1.51832,6.504,0.0987,"PMRC Wet Deposition Hg 1999-2003"
1998-04-02,"LKC",591,209,1.09424,7.003,0.0766,"PMRC Wet Deposition Hg 1999-2003"
1998-04-04,"LKC",592,40,0.20942,7.113,0.0148,"PMRC Wet Deposition Hg 1999-2003"
1998-04-16,"LKC",593,37,0.19371,23.76,0.046,"PMRC Wet Deposition Hg 1999-2003"
1998-04-17,"LKC",594,226,1.18324,12.49,0.1478,"PMRC Wet Deposition Hg 1999-2003"
1998-04-19,"LKC",595,303,1.58638,7.507,0.1191,"PMRC Wet Deposition Hg 1999-2003"
1998-04-20,"LKC",596,131,0.68586,8.768,0.0601,"PMRC Wet Deposition Hg 1999-2003"
1998-04-25,"LKC",597,54,0.28272,15.6,0.0441,"PMRC Wet Deposition Hg 1999-2003"
1998-05-02,"LKC",598,61,0.31937,17.03,0.0544,"PMRC Wet Deposition Hg 1999-2003"
1998-05-04,"LKC",599,46,0.24083,16.14,0.0388,"PMRC Wet Deposition Hg 1999-2003"
1998-05-05,"LKC",600,70,0.36649,8.297,0.0304,"PMRC Wet Deposition Hg 1999-2003"
1998-05-06,"LKC",601,284,1.48691,2.734,0.0406,"PMRC Wet Deposition Hg 1999-2003"
1998-05-08,"LKC",602,43,0.22513,29.94,0.0674,"PMRC Wet Deposition Hg 1999-2003"
1998-05-09,"LKC",603,22,0.11518,36.42,0.0419,"PMRC Wet Deposition Hg 1999-2003"
1998-05-10,"LKC",604,39,0.20418,12.47,0.0254,"PMRC Wet Deposition Hg 1999-2003"
1998-05-17,"LKC",605,107,0.5602,31.63,0.1772,"PMRC Wet Deposition Hg 1999-2003"
1998-05-20,"LKC",606,73,0.38219,42.55,0.1626,"PMRC Wet Deposition Hg 1999-2003"
1998-05-21,"LKC",607,55,0.28795,5.123,0.0147,"PMRC Wet Deposition Hg 1999-2003"
1998-05-29,"LKC",608,243,1.27225,12.19,0.1551,"PMRC Wet Deposition Hg 1999-2003"
1998-05-31,"LKC",609,941,4.9267,13.12,0.6465,"PMRC Wet Deposition Hg 1999-2003"
1998-06-02,"LKC",610,585,3.06282,10.42,0.3191,"PMRC Wet Deposition Hg 1999-2003"
1998-06-04,"LKC",611,61,0.31937,21.43,0.0684,"PMRC Wet Deposition Hg 1999-2003"
1998-06-06,"LKC",612,64.7,0.33874,7.033,0.0238,"PMRC Wet Deposition Hg 1999-2003"
1998-06-08,"LKC",613,92.2,0.48272,8.369,0.0403,"PMRC Wet Deposition Hg 1999-2003"
1998-06-12,"LKC",614,133.1,0.69685,11.63,0.0811,"PMRC Wet Deposition Hg 1999-2003"
1998-06-13,"LKC",615,546.7,2.8623,4.058,0.1161,"PMRC Wet Deposition Hg 1999-2003"
1998-06-15,"LKC",616,193.6,1.01361,2.123,0.0215,"PMRC Wet Deposition Hg 1999-2003"
1998-06-17,"LKC",617,924.4,4.83979,6.496,0.3144,"PMRC Wet Deposition Hg 1999-2003"
1998-06-18,"LKC",618,458.7,2.40157,7.395,0.1776,"PMRC Wet Deposition Hg 1999-2003"
1998-06-22,"LKC",619,320.2,1.67643,14.96,0.2509,"PMRC Wet Deposition Hg 1999-2003"
1998-06-25,"LKC",620,609.1,3.189,10.6,0.3382,"PMRC Wet Deposition Hg 1999-2003"
1998-06-26,"LKC",621,598.2,3.13193,6.568,0.2057,"PMRC Wet Deposition Hg 1999-2003"
1998-06-27,"LKC",622,26.2,0.13717,8.734,0.0119,"PMRC Wet Deposition Hg 1999-2003"
1998-06-29,"LKC",623,115.1,0.60261,10.33,0.0623,"PMRC Wet Deposition Hg 1999-2003"
1998-07-01,"LKC",624,825.1,4.31989,3.984,0.1721,"PMRC Wet Deposition Hg 1999-2003"
1998-07-04,"LKC",625,346.3,1.81308,11.52,0.2089,"PMRC Wet Deposition Hg 1999-2003"
1998-07-08,"LKC",626,621.1,3.25183,7.3,0.2373,"PMRC Wet Deposition Hg 1999-2003"
1998-07-09,"LKC",627,354.4,1.85549,10.37,0.1924,"PMRC Wet Deposition Hg 1999-2003"
1998-07-10,"LKC",628,399.6,2.09214,11.13,0.233,"PMRC Wet Deposition Hg 1999-2003"
1998-07-16,"LKC",629,500,2.6178,20.96,0.5486,"PMRC Wet Deposition Hg 1999-2003"
1998-07-17,"LKC",630,247.8,1.29738,14.6,0.1894,"PMRC Wet Deposition Hg 1999-2003"
1998-07-20,"LKC",631,104,0.5445,13.9,0.0757,"PMRC Wet Deposition Hg 1999-2003"
1998-07-23,"LKC",632,307.9,1.61204,8.505,0.1371,"PMRC Wet Deposition Hg 1999-2003"
1998-07-28,"LKC",633,175.4,0.91832,12.89,0.1183,"PMRC Wet Deposition Hg 1999-2003"
1998-07-29,"LKC",634,436.9,2.28743,10.27,0.2351,"PMRC Wet Deposition Hg 1999-2003"
1998-07-29,"LKC",635,71.7,0.37539,6.9,0.0259,"PMRC Wet Deposition Hg 1999-2003"
1998-07-30,"LKC",636,182.9,0.95759,8.107,0.0776,"PMRC Wet Deposition Hg 1999-2003"
1998-08-06,"LKC",637,31,0.1623,35.35,0.0573,"PMRC Wet Deposition Hg 1999-2003"
1998-08-10,"LKC",638,919,4.81151,3.611,0.1737,"PMRC Wet Deposition Hg 1999-2003"
1998-08-11,"LKC",639,927,4.8534,6.692,0.3248,"PMRC Wet Deposition Hg 1999-2003"
1998-08-16,"LKC",640,97,0.50785,17.05,0.0866,"PMRC Wet Deposition Hg 1999-2003"
1998-08-20,"LKC",641,42,0.21989,20.19,0.0444,"PMRC Wet Deposition Hg 1999-2003"
1998-08-22,"LKC",642,218,1.14136,9.797,0.1118,"PMRC Wet Deposition Hg 1999-2003"
1998-08-24,"LKC",644,447,2.34031,17.7,0.4143,"PMRC Wet Deposition Hg 1999-2003"
1998-08-24,"LKC",643,223,1.16753,23.59,0.2755,"PMRC Wet Deposition Hg 1999-2003"
1998-08-25,"LKC",645,103,0.53926,11.62,0.0626,"PMRC Wet Deposition Hg 1999-2003"
1998-08-29,"LKC",646,103,0.53926,19.56,0.1055,"PMRC Wet Deposition Hg 1999-2003"
1998-09-02,"LKC",647,120,0.62827,14.78,0.0928,"PMRC Wet Deposition Hg 1999-2003"
1998-09-03,"LKC",648,131,0.68586,15.88,0.1089,"PMRC Wet Deposition Hg 1999-2003"
1998-09-07,"LKC",649,453,2.37172,3.626,0.086,"PMRC Wet Deposition Hg 1999-2003"
1998-09-08,"LKC",650,262,1.37172,3.198,0.0438,"PMRC Wet Deposition Hg 1999-2003"
1998-09-09,"LKC",651,196,1.02617,10.69,0.1097,"PMRC Wet Deposition Hg 1999-2003"
1998-09-12,"LKC",652,80,0.41884,8.905,0.0373,"PMRC Wet Deposition Hg 1999-2003"
1998-09-14,"LKC",653,73.8,0.38638,27.68,0.1069,"PMRC Wet Deposition Hg 1999-2003"
1998-09-15,"LKC",654,985,5.15706,9.396,0.4845,"PMRC Wet Deposition Hg 1999-2003"
