Date,SiteCode,samplenumber,PrecipSampVol_mL,precipamount_cm,HgConcentration_ng_L,Hg_deposition_ug_m2
7/28/94,LKC,200,1168,0.711,7.528,0.0535
7/30/94,LKC,201,1196,0.762,9.342,0.0711
8/2/94,LKC,202,1173,2.159,13.37,0.2887
8/4/94,LKC,203,1166,3.759,2.662,0.1
8/13/94,LKC,204,1191,1.143,9.618,0.1099
8/14/94,LKC,205,1185,1.016,5.453,0.0554
8/15/94,LKC,206,67,0.35078,10.35,0.0363
8/17/94,LKC,207,93,0.48691,7.302,0.0355
8/21/94,LKC,208,696,3.64397,7.508,0.2735
8/25/94,LKC,209,311,1.62827,8.807,0.1434
8/26/94,LKC,210,141,0.73821,12.4,0.0915
8/31/94,LKC,211,142,0.74345,10.8,0.0803
9/1/94,LKC,212,44,0.23036,20.18,0.0465
9/5/94,LKC,213,99,0.51832,7.225,0.0374
9/7/94,LKC,214,91,0.47643,4.29,0.0204
9/10/94,LKC,215,92,0.48167,7.694,0.037
9/11/94,LKC,216,444,2.3246,11.69,0.2719
9/13/94,LKC,217,318,1.66492,2.074,0.0345
9/23/94,LKC,219,99,0.51832,4.876,0.0252
9/24/94,LKC,220,24,0.12565,6.665,0.0083
9/27/94,LKC,221,61,0.31937,10.81,0.0345
9/28/94,LKC,222,61,0.31937,14.67,0.0468
9/29/94,LKC,223,245,1.28272,3.845,0.0493
10/4/94,LKC,224,56,0.29319,4.932,0.0144
10/5/94,LKC,225,57,0.29842,8.688,0.0259
10/9/94,LKC,226,233,1.21989,6.494,0.0792
10/18/94,LKC,227,30,0.15706,25.02,0.0393
10/19/94,LKC,228,56,0.29319,43.73,0.1282
10/20/94,LKC,229,689,3.60732,5.299,0.1911
10/31/94,LKC,230,357,1.8691,8.362,0.1563
11/1/94,LKC,231,71,0.37172,4.22,0.0156
11/2/94,LKC,232,190,0.99476,2.533,0.0252
11/4/94,LKC,233,109,0.57068,15.09,0.0861
11/5/94,LKC,234,115,0.60209,9.797,0.0589
11/6/94,LKC,235,115,0.60209,3.267,0.0196
11/21/94,LKC,236,102,0.53403,12.83,0.0685
11/26/94,LKC,237,155,0.81151,5.297,0.0429
11/28/94,LKC,238,37,0.19371,18.93,0.0366
11/28/94,LKC,239,185,0.96858,3.535,0.0342
12/5/94,LKC,241,422,2.20942,3.967,0.0876
12/5/94,LKC,240,36,0.18848,21.36,0.0402
12/6/94,LKC,242,62,0.3246,6.157,0.0199
12/10/94,LKC,243,56,0.29319,5.943,0.0174
12/17/94,LKC,244,48,0.2513,4.706,0.0118
12/18/94,LKC,245,24,0.12565,16.41,0.0206
12/28/94,LKC,246,72,0.37696,8.461,0.0318
1/1/95,LKC,248,54,0.28272,3.38,0.0095
1/3/95,LKC,249,39,0.20418,8.168,0.0166
1/6/95,LKC,250,45,0.2356,3.818,0.0089
1/12/95,LKC,251,68,0.35602,14.31,0.0509
1/15/95,LKC,252,115,0.60209,3.157,0.019
1/16/95,LKC,253,113,0.59162,4.948,0.0292
1/20/95,LKC,254,246,1.28795,3.028,0.039
1/21/95,LKC,255,81,0.42408,2.518,0.0106
1/22/95,LKC,256,108,0.56544,3.025,0.0171
2/1/95,LKC,257,26,0.13612,11.08,0.015
2/4/95,LKC,258,252,1.31937,2.808,0.037
2/24/95,LKC,260,83,0.43455,28.44,0.1236
2/27/95,LKC,261,105,0.54973,3.95,0.0217
2/28/95,LKC,262,30,0.15706,4.771,0.0074
3/8/95,LKC,263,466,2.43979,3.552,0.0866
3/16/95,LKC,264,48,0.2513,15.91,0.0399
3/21/95,LKC,265,163,0.8534,4.204,0.0358
3/22/95,LKC,266,83,0.43455,2.968,0.0128
3/30/95,LKC,267,70,0.36649,9.904,0.0363
